,id,content
52,{M5G4-L6UN26HB-4491IYRJ},"[(21, 0.97576576)]"
53,{W3X1-U0GW82TQ-0309DTUY},"[(40, 0.58228046), (87, 0.40015495)]"
54,{G7U5-P9HV31RT-4433BDIP},"[(46, 0.39014855), (59, 0.37306494), (69, 0.21691589)]"
55,{R7S0-L1QN11RK-7397DDLV},"[(45, 0.9284008), (51, 0.053713966)]"
56,{Y4F7-N0DM86BL-9295AJOV},"[(22, 0.7666921), (74, 0.05277606), (86, 0.16681887)]"
57,{O1Y8-Z2CJ45DH-1874AGKV},"[(8, 0.28922704), (69, 0.055391785), (87, 0.63550985)]"
58,{F8A2-H1XD35EF-7017LXOP},"[(14, 0.17683825), (98, 0.80144596)]"
59,{O6W5-S9OE61YZ-9954AAJV},"[(43, 0.7226695), (80, 0.26347548)]"
60,{Y1J5-F6IZ14BX-6165KMKO},"[(49, 0.021289319), (66, 0.37021676), (98, 0.5894024)]"
61,{H4N6-P4NC31VJ-4157ZHCQ},"[(35, 0.9032548), (90, 0.076670505)]"
62,{U5R8-H4HR74ZK-8063IMLD},"[(15, 0.069150716), (81, 0.9115616)]"
63,{L8L7-I6QB60SJ-8329EAWX},"[(10, 0.337272), (16, 0.6408685)]"
64,{F1V8-Q3FX80YH-4808OYLD},"[(16, 0.5775934), (42, 0.4023336)]"
65,{N3S4-D4EA54QJ-6641QSPJ},"[(20, 0.56967366), (38, 0.17724267), (58, 0.23321389)]"
66,{E0M8-U3MT82TK-2490EUVM},"[(28, 0.18298997), (41, 0.4639984), (77, 0.33391997)]"
67,{A2G6-T7FE08CK-7601IYDT},"[(57, 0.6049689), (71, 0.3730044)]"
68,{N7K3-L4ZW00BJ-1122VOKY},"[(83, 0.64087784), (85, 0.3412392)]"
69,{V9E1-E4KG05KT-8603JHAW},"[(20, 0.44482303), (28, 0.22473994), (38, 0.14641553), (62, 0.170255)]"
70,{H8J9-O8EV51TI-5175ALDB},"[(17, 0.9724001)]"
71,{W8E0-S2GA51NB-8855DBRL},"[(97, 0.31404462), (98, 0.6640949)]"
72,{V9Y4-Y6YA45RC-6762BMXK},"[(14, 0.48421925), (50, 0.18321031), (59, 0.09275499), (74, 0.22604933)]"
73,{F6G0-Y9HU98RN-3076QCZX},"[(18, 0.6662735), (68, 0.30640504)]"
74,{O6G1-D2TR39JZ-4127DKII},"[(84, 0.9796915)]"
75,{F1N0-T0KZ92MJ-6371MQJP},"[(4, 0.12434609), (66, 0.8537953)]"
76,{J9W6-J5DF25RZ-6383VWAW},"[(42, 0.5817807), (69, 0.2850967), (76, 0.11335045)]"
77,{N7W1-X6WM31JK-2353OYJF},"[(9, 0.53392583), (33, 0.44143066)]"
78,{H1E8-O1YQ87JE-9501TIRP},"[(69, 0.40872335), (86, 0.5719892)]"
79,{G4C1-N5YF16EQ-9887KMSE},"[(16, 0.1289185), (52, 0.15211454), (70, 0.69780004)]"
80,{X7P9-Q4ZA06IU-5115FOVF},"[(19, 0.6047172), (72, 0.37739804)]"
81,{P3E3-H2YW11GE-0128BIOA},"[(38, 0.6443184), (39, 0.32176378)]"
82,{D5N7-S3PD41LF-5696NIAJ},"[(13, 0.25130066), (50, 0.25617626), (69, 0.22729199), (74, 0.2480234)]"
83,{J7T4-S4PH23VD-8789EFBI},"[(35, 0.20488402), (96, 0.77325654)]"
84,{Q8R1-H0XB10LG-1430YNNC},"[(25, 0.61645824), (37, 0.13809846), (49, 0.07183484), (70, 0.154713)]"
85,{B3D0-I8NG41ZO-3455PQRU},"[(55, 0.06928733), (89, 0.9131478)]"
86,{F3R8-C1FP53QP-4310NAYW},"[(45, 0.5691069), (58, 0.39697337)]"
87,{X2E0-V7XO10ZA-8661RAOS},"[(28, 0.102320485), (66, 0.88011384)]"
88,{E6H5-S6OV67WO-6530IHXU},"[(8, 0.25623485), (29, 0.5026304), (61, 0.22310379)]"
89,{F3S0-B5AP99TB-4530VMJO},"[(4, 0.67468184), (47, 0.13180576), (87, 0.17442285)]"
90,{L3U3-N0SK79WC-6849WIHK},"[(25, 0.20423725), (85, 0.021525413), (96, 0.75801104)]"
91,{U1X2-Z4AU52HO-7851KWYP},"[(87, 0.9751582)]"
92,{C5Y9-W2JU38KQ-7592FZVR},"[(55, 0.29327875), (80, 0.16081078), (84, 0.28318548), (99, 0.2448796)]"
93,{T1M8-A5KW20CX-6235QRKK},"[(4, 0.9805185)]"
94,{W9I1-J1EG17NA-2071RTJL},"[(27, 0.16436782), (37, 0.8192395)]"
95,{W4M4-X4HG50VW-0146GTBK},"[(77, 0.04329399), (87, 0.93211406)]"
96,{F5S2-P7KG93QM-8280GFDA},"[(98, 0.98422766)]"
97,{U3S0-G4QB47WH-7450KVFD},"[(23, 0.060257852), (86, 0.2868651), (87, 0.63766456)]"
98,{G9N0-L5XY07HN-5490OBKT},"[(38, 0.12629212), (70, 0.8419755)]"
99,{N3X8-D7TL46RL-0307PPPU},"[(80, 0.98422664)]"
100,{C4T5-K0GM27SY-4893BEWZ},"[(15, 0.97972256)]"
101,{D0S8-O3PS93OT-3099ZIQE},"[(10, 0.8235282), (56, 0.1494939), (67, 0.011764245)]"
102,{J8F1-O6CV97TD-3371VQQF},"[(32, 0.8642072), (89, 0.10406296)]"
103,{J0W4-M9OK89YQ-9898ZLTN},"[(99, 0.96794564)]"
104,{Q3T9-C2VF91JO-5663OAPG},"[(1, 0.0966101), (13, 0.39731035), (14, 0.4853632)]"
105,{V8Y2-I9VA77DW-7630QVOX},"[(1, 0.16953512), (10, 0.49210867), (38, 0.22437458), (64, 0.094317354)]"
106,{N0O6-F9DA01LO-8931EKYE},"[(4, 0.18922055), (81, 0.24616256), (92, 0.5458929)]"
107,{Y4T8-V4RY93NW-3653FDEC},"[(34, 0.22548597), (49, 0.12861481), (56, 0.62518305)]"
108,{Q1D8-U9UK95MT-5979QZWX},"[(2, 0.1756096), (9, 0.11091601), (48, 0.6991553)]"
109,{N8H7-T5IC91XW-5045EGGO},"[(40, 0.08714046), (54, 0.18332084), (62, 0.6038182), (65, 0.1052145)]"
110,{C8V1-R5XA22RU-8454OSCM},"[(98, 0.98638815)]"
111,{X1W1-Q3HQ63DA-0367KFNX},"[(0, 0.030379368), (84, 0.9534949)]"
112,{Z0T5-L7ZC05NE-3152AQNE},"[(37, 0.88874596), (56, 0.092338786)]"
113,{N4W4-Y5HQ13HQ-3046ZJPN},"[(0, 0.21340382), (35, 0.30976543), (42, 0.3535981), (60, 0.10817572)]"
114,{P7R4-G6RS02UV-2790FUGH},"[(43, 0.36081305), (45, 0.31265867), (58, 0.3122093)]"
115,{K9V8-Q3ZL64DQ-6080LBOD},"[(59, 0.50352514), (67, 0.43233395), (80, 0.043425962)]"
116,{N3W0-S3VD70HW-4321WGWJ},"[(57, 0.97972304)]"
117,{X0V1-D7JZ91XU-7381WEJR},"[(2, 0.7096907), (40, 0.13002846), (85, 0.14694345)]"
118,{Y0C4-K3OS03BB-7016PCSZ},"[(43, 0.3194927), (74, 0.21438001), (81, 0.4484555)]"
119,{J5E4-P5AW71JL-3609EJMN},"[(10, 0.1788141), (26, 0.8011118)]"
120,{J0L2-R6ON94BQ-7117TPWD},"[(28, 0.5099224), (34, 0.014096611), (48, 0.45725694)]"
121,{H6X3-B8SS25AT-9026CDTE},"[(7, 0.10216238), (86, 0.875978)]"
122,{W1J9-V4QQ93ZP-7255UWWD},"[(21, 0.41815308), (96, 0.5642812)]"
123,{O6V5-X7BI16TQ-0409RHMV},"[(21, 0.5444026), (34, 0.24948654), (76, 0.18988362)]"
124,{D2J9-S4DD94LT-1951OJHG},"[(7, 0.035068423), (35, 0.94307244)]"
125,{Z9R3-C9YQ30SL-2079NIDR},"[(54, 0.017724307), (87, 0.96375954)]"
126,{V4Z2-C3SO83HK-9620HBQV},"[(96, 0.9767245)]"
127,{E7V3-O3MR88DE-8628HXGM},"[(46, 0.37761632), (66, 0.60189176)]"
128,{B7J7-A5AT38WN-8966SRMJ},"[(28, 0.97689176)]"
129,{Y4G2-H8AG67HS-7378MFQA},"[(30, 0.19304867), (81, 0.786458)]"
130,{A2C8-D7QK80KE-9509QILG},"[(29, 0.0195915), (51, 0.77778614), (54, 0.060671475), (56, 0.12187522)]"
131,{Q5R5-I7FZ24UB-4147VMOD},"[(15, 0.948499), (37, 0.025613885)]"
132,{B7N9-U4KQ88KA-4942DCWM},"[(9, 0.017831419), (27, 0.21184331), (51, 0.1991287), (73, 0.5449758)]"
133,{F5J8-N1XR57MF-1756TZSY},"[(25, 0.05162262), (73, 0.927883)]"
134,{P2I9-Y0ZQ67NE-0251KAEZ},"[(2, 0.49225837), (34, 0.48723522)]"
135,{A2O1-A0IQ24MS-9929JLMY},"[(22, 0.9723969)]"
136,{I9F9-U3UP12BF-4638XMQX},"[(21, 0.42343867), (86, 0.5506767)]"
137,{A1M1-H0RQ99FF-1296ORNR},"[(26, 0.8303032), (37, 0.1500256)]"
138,{I3O9-E5IL20XK-9825HEWJ},"[(29, 0.9679465)]"
139,{E2O6-D5IS98OT-1090SKFW},"[(13, 0.11920243), (90, 0.35313162), (92, 0.5096357)]"
140,{P1G2-Z9HI94EO-2089WNAC},"[(13, 0.13770506), (87, 0.8349696)]"
141,{A0B1-V0CV26EP-0441HPBL},"[(21, 0.8859829), (63, 0.086694226)]"
142,{N4Q4-I3WA75UZ-8246NTBR},"[(78, 0.98012745)]"
143,{Y7T0-L6KK06QU-0536YOWH},"[(13, 0.22358647), (29, 0.6912958), (62, 0.053708423)]"
144,{Y0L1-A3XK22CR-2146FAPQ},"[(92, 0.9723942)]"
145,{Y5D2-M7KY11AP-4044XMKY},"[(53, 0.9125271), (99, 0.06740124)]"
146,{E8M4-H9FQ65WA-6032XXYV},"[(21, 0.9063959), (79, 0.070183344)]"
147,{X1K0-R4IH20MN-3972ZNCR},"[(16, 0.98193383)]"
148,{M5E0-M3WK98MQ-2775RHYF},"[(63, 0.23472576), (93, 0.7452019)]"
149,{B3P8-E0RP84AL-5123JZKZ},"[(9, 0.9763418)]"
150,{Y9I7-T8BV81QU-3331IWTQ},"[(19, 0.45224956), (65, 0.118699215), (95, 0.41134796)]"
151,{C1A7-K7OE25FL-5848XUNL},"[(57, 0.98422664)]"
152,{R3R0-H0PI53QL-0346ALLU},"[(5, 0.21386838), (12, 0.77051723)]"
153,{I3O3-M7VR32VP-0435OZZK},"[(47, 0.9474796), (84, 0.034302656)]"
154,{B5Y2-G8MX39ZX-2882KDWB},"[(72, 0.9377364), (81, 0.04140355)]"
155,{U1R6-S7UL79UF-7707CQSN},"[(67, 0.13904968), (81, 0.842734)]"
156,{T0L9-M7CJ24SM-2464XSXL},"[(21, 0.13565548), (61, 0.6764504), (62, 0.17244038)]"
157,{G6O6-Y8ZC85IC-3229XRWO},"[(8, 0.7999258), (17, 0.17608371)]"
158,{Q5G5-I7IT73HI-9807WCBO},"[(15, 0.048983324), (18, 0.099511795), (69, 0.8312189)]"
159,{K3C7-N3YE25BW-0474PSGZ},"[(5, 0.7009579), (61, 0.16618474), (97, 0.117403865)]"
160,{U3W4-X9LZ03EE-4106MWOD},"[(8, 0.37809587), (9, 0.60141224)]"
161,{W0E5-F2NO98KD-4048CLFG},"[(33, 0.20137604), (57, 0.0968308), (64, 0.59808666), (99, 0.08020136)]"
162,{E3N7-W5DG32OX-1859TPJP},"[(46, 0.97452414)]"
163,{Y3T2-K5TZ89UH-7421RDDL},"[(3, 0.52769387), (50, 0.451809)]"
164,{R0S9-W8XW95DV-7300BCDK},"[(46, 0.8357518), (48, 0.1390287)]"
165,{W0N9-B3XW76PG-8784SUFP},"[(22, 0.3000539), (99, 0.6823804)]"
166,{E0H3-Y7DO85SV-4085HUJJ},"[(28, 0.054333266), (39, 0.14860764), (70, 0.7810976)]"
167,{D8P9-G4XX09LW-0085CYHU},"[(3, 0.15610847), (7, 0.068041645), (22, 0.21115014), (63, 0.45256168), (69, 0.09510915)]"
168,{A8X5-W3LA86NJ-9081SEIJ},"[(76, 0.85686123), (97, 0.12422433)]"
169,{V6T8-L5HL60UP-3493ELAI},"[(33, 0.4819302), (49, 0.2985597), (79, 0.045690026), (83, 0.15876232)]"
170,{Q3M0-L4SM98RU-2371FUJQ},"[(15, 0.7787202), (22, 0.037196647), (58, 0.10062719), (76, 0.06739539)]"
171,{Q2L0-K6KB58YN-6794VTOS},"[(14, 0.44273582), (38, 0.53978217)]"
172,{Z1I7-J4MH43ES-7189EXJN},"[(6, 0.23654743), (64, 0.49777085), (70, 0.2504702)]"
173,{G4J4-V4OS90WL-8368WADW},"[(3, 0.45051715), (39, 0.061820302), (78, 0.4711586)]"
174,{T6J3-Y0ON19RT-3452QBXB},"[(20, 0.89125746), (22, 0.07482579), (49, 0.013629742)]"
175,{Y7S7-I4YD90LB-7374WFPV},"[(64, 0.9757621)]"
176,{A6N7-Q4AR94RR-4409GHZT},"[(34, 0.8670886), (75, 0.012748589), (78, 0.09882967)]"
177,{V1W7-Z3PR48JX-0608OETT},"[(34, 0.040223405), (70, 0.9379194)]"
178,{B4U8-I1UY11NW-3309GUZI},"[(55, 0.4245432), (95, 0.5546656)]"
179,{S4V7-F3CB66RJ-1559SFFD},"[(24, 0.97576517)]"
180,{W5C1-G8AL89RP-6322KNGQ},"[(26, 0.50563985), (79, 0.46542877)]"
181,{Z9L7-A7GY23SC-2253JZZA},"[(70, 0.49303344), (73, 0.48354733)]"
182,{I7W6-Y2UV12YB-6022DTNP},"[(54, 0.9779198)]"
183,{Y1L0-A6JZ40ZS-2719MZEM},"[(14, 0.266971), (52, 0.7096075)]"
184,{T9N7-D6JV18EJ-2739SKVM},"[(75, 0.36911944), (98, 0.6079364)]"
185,{Q4I1-M0QK42KL-1619AOYB},"[(5, 0.5903497), (90, 0.1829524), (92, 0.20641305)]"
186,{U0G5-Q5KD68HS-9013NGPV},"[(7, 0.029841939), (46, 0.6277869), (60, 0.31972834)]"
187,{F2A5-P6RM59DS-5095WLMM},"[(59, 0.15356672), (65, 0.7119323), (94, 0.12039088)]"
188,{E1C0-F1SN84IS-6262PTAE},"[(21, 0.9842283)]"
189,{J6X3-V4AJ39HB-7639VSSX},"[(26, 0.31710392), (58, 0.13595901), (64, 0.5266518)]"
190,{K1C1-O8JL50ST-2380BLZI},"[(5, 0.29956314), (10, 0.058633972), (43, 0.22916594), (50, 0.2884254), (58, 0.11039136)]"
191,{E2O3-L9JA04DE-6220DXEY},"[(21, 0.40178862), (40, 0.5825834)]"
192,{W1R3-E0IT93KX-8455JEVN},"[(11, 0.9745245)]"
193,{N1F3-J2DM45SA-0216EBDT},"[(15, 0.017234882), (90, 0.9612013)]"
194,{C2Q3-B4OA15FO-2108LVKQ},"[(5, 0.70442235), (91, 0.111728564), (93, 0.16475551)]"
195,{X0V3-X8AI82UK-8966NJTE},"[(46, 0.18178296), (62, 0.792994)]"
196,{N4I5-X4UX35OM-5366IPJO},"[(60, 0.014230812), (73, 0.27193648), (85, 0.69266754)]"
197,{V7N3-L3NS28VX-5755ZGVN},"[(12, 0.9434944), (39, 0.035123505)]"
198,{K7X1-J4EC51JY-9547PWXO},"[(3, 0.06759345), (14, 0.34671417), (18, 0.5669691)]"
199,{J6F8-O6TI47OY-7944YYZS},"[(13, 0.6593442), (63, 0.31830078)]"
200,{B0D7-X7UD14WH-6200GSIY},"[(77, 0.97789955)]"
201,{H4O2-Z7ZV55TM-4619GGQT},"[(63, 0.4291313), (81, 0.549486)]"
202,{T9H9-X3SZ79WL-4939STZB},"[(1, 0.9788585)]"
203,{P0A8-N4OR94DX-8493LNBE},"[(22, 0.1659881), (52, 0.6590684), (66, 0.15737599)]"
204,{S5O7-C7WX33IA-4507VNLG},"[(17, 0.25173265), (78, 0.7293497)]"
205,{M8B9-W4QH64OD-4438FZPW},"[(24, 0.86970717), (76, 0.10793892)]"
206,{X6Z3-R0UB60LT-6950FAZU},"[(5, 0.057051867), (10, 0.030371862), (69, 0.8914107)]"
207,{P2T2-K9PP53ON-2108WWRE},"[(2, 0.06635418), (38, 0.61815804), (86, 0.29810163)]"
208,{N2U1-D4WB53NQ-4201QBEO},"[(15, 0.3003328), (54, 0.53508645), (92, 0.14386438)]"
209,{M4V5-L6PB86CB-4973WHYE},"[(95, 0.97791785)]"
210,{N3N8-D9IF59HO-0806PCTC},"[(0, 0.9831594)]"
211,{J9D1-R5BE34GC-5677FEXO},"[(92, 0.92862403), (98, 0.056242384)]"
212,{H4P3-T9AA05NY-5887YEQF},"[(4, 0.7107254), (94, 0.26920068)]"
213,{I1K6-B7AZ75GY-3259QMBC},"[(20, 0.56448114), (49, 0.41413674)]"
214,{R0Y7-H8JE42YR-9930KXGG},"[(7, 0.23080935), (23, 0.5286997), (66, 0.22310348)]"
215,{R4F1-S8RU72DZ-3115SOGG},"[(26, 0.10779925), (52, 0.12374186), (67, 0.74682325)]"
216,{J9B6-F0YO10OA-5248LVWK},"[(40, 0.2190939), (91, 0.7629473)]"
217,{C1E1-X1OU99IC-5573YZGU},"[(2, 0.69390595), (28, 0.21272932), (54, 0.07349417)]"
218,{P4J3-S0IQ97CG-8230CAHO},"[(0, 0.79234964), (31, 0.18626885)]"
219,{Q3M7-K7LZ64MF-4869JWWV},"[(0, 0.2991267), (51, 0.68420094)]"
220,{F9Q8-W4ET38HS-1354ATRF},"[(69, 0.83410454), (80, 0.1377932)]"
221,{Z8C0-X0DN36FR-8802OIIL},"[(45, 0.45316464), (93, 0.53016174)]"
222,{C5P2-P5NO78PI-5582JVTX},"[(53, 0.07209025), (68, 0.9055548)]"
223,{V6Z4-N6ST72UJ-9752DWAS},"[(87, 0.8063716), (99, 0.1696346)]"
224,{P9W3-K9ZQ03BF-4090BJFM},"[(26, 0.046895042), (35, 0.9307488)]"
225,{K0V8-D0UU12GQ-5688BTKB},"[(28, 0.8805456), (88, 0.100166686)]"
226,{V3U6-Q3JF76EG-1056DMMA},"[(54, 0.13729371), (56, 0.11227343), (59, 0.72668564)]"
227,{Y4P5-R5NR31DO-7260XUAF},"[(43, 0.6779439), (64, 0.3027681)]"
228,{I8N1-M1EH21XP-4041HYKY},"[(4, 0.27569544), (40, 0.122608304), (55, 0.08310185), (72, 0.49969947)]"
229,{R9D7-L8RJ00PS-0333BVER},"[(10, 0.28322497), (72, 0.38750982), (75, 0.31017295)]"
230,{N4X1-C5VB43YC-1383PWTQ},"[(57, 0.9774163)]"
231,{O1D8-B1HN44LY-0034MZGB},"[(9, 0.8266517), (95, 0.15748446)]"
232,{D9G5-D9WT53AA-2163APSU},"[(34, 0.9779192)]"
233,{L0X9-C7WD49EG-6359ADYD},"[(0, 0.6640826), (43, 0.31356004)]"
234,{J2D9-R5GC39QY-5876KVVS},"[(9, 0.27627838), (13, 0.7078578)]"
235,{E7P2-E8IC50MJ-3359JEGE},"[(39, 0.5055666), (90, 0.47514609)]"
236,{R3V4-E8OO99ZD-2716XIDG},"[(16, 0.013635919), (45, 0.7794727), (87, 0.047117878), (92, 0.14087851)]"
237,{D9W5-M9CE22ZO-1470VQBH},"[(12, 0.6361131), (49, 0.040033814), (88, 0.24306504), (98, 0.06758802)]"
238,{N5L7-O7WG62UJ-7752RAVC},"[(28, 0.25136063), (36, 0.104698285), (73, 0.6287274)]"
239,{N3A9-L0RA08VC-9738QHMP},"[(1, 0.68564296), (76, 0.2890713)]"
240,{N1Q3-K5OU93ZS-8963JPMA},"[(9, 0.18086594), (54, 0.23559462), (97, 0.5702025)]"
241,{U1J0-C6ZB91GK-2260OQDX},"[(12, 0.79891753), (63, 0.1857136)]"
242,{N2G3-T2WQ13YX-4548WTKS},"[(7, 0.33311957), (35, 0.6519775)]"
243,{V2Y2-Y5MU03DN-0151BZFG},"[(0, 0.69011205), (81, 0.27752405)]"
244,{J3F6-Y8ZY12KE-0704QSYZ},"[(37, 0.8121547), (72, 0.16126075)]"
245,{D3X4-S9HS91SN-9868ZSOF},"[(22, 0.09156217), (77, 0.2729785), (88, 0.4835837), (96, 0.13180056)]"
246,{E7X8-I3HS96MS-5497YUDU},"[(8, 0.09251027), (30, 0.7444695), (93, 0.13898312)]"
247,{L3V2-C3MM80EV-3073GOWV},"[(7, 0.6008255), (15, 0.3490608), (97, 0.027984973)]"
248,{I4P3-V0WN00LF-7959FAHJ},"[(8, 0.30841672), (58, 0.5259988), (80, 0.14345527)]"
249,{Z1P7-T1AZ61RE-0483KGMV},"[(83, 0.96989167)]"
250,{P2O9-T1SH03OA-7476EYAJ},"[(27, 0.9054131), (55, 0.034120888), (61, 0.04276306)]"
251,{W6J2-T2XB55TK-5324UUZC},"[(11, 0.82252103), (83, 0.14767508)]"
252,{D6B6-D0FG33NO-3144ABAZ},"[(20, 0.060247917), (52, 0.18970484), (66, 0.5185941), (70, 0.21639726)]"
253,{A4V0-L4OB94YP-9098GKRC},"[(45, 0.14360327), (93, 0.82968163)]"
254,{V3E6-U5JK88CO-3043CXEL},"[(9, 0.62668234), (91, 0.34673125)]"
255,{Q2M9-I5KW24UH-3218XYEU},"[(25, 0.53015834), (28, 0.18678363), (64, 0.26189232)]"
256,{J9M3-X2PM97PM-1403QWMX},"[(20, 0.23052898), (31, 0.31392518), (74, 0.2999315), (80, 0.14055765)]"
257,{R8I6-U2KS54HI-2880NDSM},"[(86, 0.96894765)]"
258,{H2G1-G7NP66TK-7941AQDU},"[(11, 0.67721474), (27, 0.30386803)]"
259,{O6H4-V0OI15YT-4455LQNQ},"[(13, 0.51358855), (16, 0.39705583), (46, 0.06617373)]"
260,{H0Z2-H7WP89LU-7745VCSF},"[(59, 0.96894693)]"
261,{M2E7-K9UC92LN-3184ATMO},"[(53, 0.30843487), (72, 0.6496549), (95, 0.024829008)]"
262,{Y2Z1-O3MS22MC-8962SOQJ},"[(7, 0.91888326), (27, 0.05769641)]"
263,{F6X9-T3UJ76EU-3333SIZY},"[(46, 0.037948992), (50, 0.38717917), (76, 0.55614793)]"
264,{H7V8-I0BI60QM-9396XATY},"[(15, 0.5310817), (60, 0.4516622)]"
265,{C1F6-I3BT92WM-7724TLRW},"[(59, 0.23636827), (66, 0.7396405)]"
266,{S1J9-B6XN56UH-5843JYLI},"[(0, 0.6511728), (76, 0.3299097)]"
267,{V9B0-Y4YP06RU-2463EGNV},"[(11, 0.017883684), (12, 0.070890576), (33, 0.19530131), (63, 0.1125907), (90, 0.58660424)]"
268,{L1R9-U0DD91JF-7841RLMJ},"[(10, 0.8151341), (47, 0.1659484)]"
269,{Y4D3-C0LJ89DC-8279SVEI},"[(3, 0.039188784), (56, 0.4493744), (60, 0.31101272), (96, 0.18351804)]"
