user,day,action_id,content
AHN0681,2010-01-02,"[16, 16, 6, 6, 16, 16, 6, 6, 6, 6, 6, 6, 6, 6, 16, 16, 6, 6, 16, 16, 16, 16, 16, 16, 16, 16]","['[(0, 0.028668204), (20, 0.057830747), (27, 0.5931916), (80, 0.30451265)]', '[(23, 0.4185119), (56, 0.16943821), (71, 0.3960878)]', '[(3, 0.17060792), (45, 0.80800664)]', '[(35, 0.55777425), (85, 0.4208413)]', '[(79, 0.97515965)]', '[(14, 0.1946284), (71, 0.78078)]', '[(71, 0.97675246)]', '[(26, 0.909465), (59, 0.039472327), (81, 0.030778449)]', '[(77, 0.9819344)]', '[(7, 0.14870307), (20, 0.052769423), (56, 0.7808232)]', '[(10, 0.98012716)]', '[(22, 0.9327967), (82, 0.047530726)]', '[(2, 0.9788561)]', '[(21, 0.01149908), (72, 0.86938965), (82, 0.09839492)]', '[(85, 0.47824502), (92, 0.4998951)]', '[(4, 0.9779182)]', '[(28, 0.65379125), (45, 0.31888533)]', '[(13, 0.97239953)]', '[(11, 0.431203), (95, 0.5555045)]', '[(3, 0.027826704), (90, 0.9588801)]', '[(6, 0.7299224), (31, 0.24720214)]', '[(31, 0.54578745), (60, 0.43133375)]', '[(44, 0.20416453), (77, 0.7209907), (84, 0.054615617)]', '[(69, 0.09583639), (76, 0.88690734)]', '[(21, 0.9844747)]', '[(3, 0.5318091), (69, 0.45282325)]']"
AHN0681,2010-01-03,,
AHN0681,2010-01-04,,
AKR0756,2010-01-02,,
AKR0756,2010-01-03,,
AKR0756,2010-01-04,,
AKS0586,2010-01-02,"[10, 10, 10, 10, 16, 16, 13, 13, 10, 10, 12, 12, 10, 10, 6, 6, 16, 16, 16, 16, 10, 10, 10, 10, 13, 13, 13, 13, 10, 10, 10, 10, 16, 16, 13, 13, 6, 6, 16, 16, 16, 16, 10, 10, 16, 16, 6, 6, 13, 13, 10, 10, 6, 6, 10, 10, 6, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 6, 10, 10, 6, 6, 13, 13, 10, 10, 10, 10, 6, 6, 16, 16, 10, 10]","['[(2, 0.062832355), (43, 0.48060086), (84, 0.4370934)]', '[(67, 0.9801264)]', '[(11, 0.22440736), (12, 0.7353531), (57, 0.024535121)]', '[(8, 0.97961855)]', '[(97, 0.9381422), (98, 0.045732692)]', '[(8, 0.14714743), (65, 0.7110949), (75, 0.12579678)]', '[(48, 0.7935443), (83, 0.1888896)]', '[(42, 0.47044483), (85, 0.5119902)]', '[(55, 0.9763394)]', '[(68, 0.16252486), (78, 0.8140581)]', '[]', '[]', '[(6, 0.440503), (53, 0.41226918), (54, 0.13152085)]', '[(12, 0.43721056), (27, 0.29383883), (43, 0.05724688), (95, 0.19616257)]', '[(55, 0.51323676), (62, 0.467476)]', '[(38, 0.61115444), (41, 0.36955804)]', '[(63, 0.64576), (86, 0.33285663)]', '[(57, 0.9783984)]', '[(45, 0.46743405), (59, 0.20523538), (69, 0.31024903)]', '[(32, 0.45597756), (37, 0.12245974), (58, 0.403399)]', '[(15, 0.08947339), (56, 0.8923115)]', '[(41, 0.6668609), (74, 0.31008568)]', '[(9, 0.79635847), (85, 0.17660789)]', '[(45, 0.2823604), (51, 0.6983534)]', '[(87, 0.9751542)]', '[(82, 0.1703579), (90, 0.803319)]', '[(4, 0.33062887), (39, 0.35886547), (54, 0.07602989), (56, 0.21814291)]', '[(4, 0.5676314), (24, 0.29101887), (99, 0.12484672)]', '[(42, 0.9816003)]', '[(11, 0.4698038), (72, 0.51198095)]', '[(6, 0.74178916), (19, 0.23929308)]', '[(33, 0.31474927), (34, 0.13694383), (67, 0.5295812)]', '[(96, 0.97384906)]', '[(82, 0.97385126)]', '[(59, 0.2628261), (60, 0.72130895)]', '[(15, 0.4837066), (48, 0.40268287), (59, 0.034562975), (65, 0.06350515)]', '[(15, 0.21032806), (25, 0.43064263), (28, 0.33993793)]', '[(19, 0.04054454), (47, 0.9401671)]', '[(40, 0.09683524), (66, 0.88560015)]', '[(5, 0.33740264), (16, 0.59758824), (67, 0.047623254)]', '[(80, 0.84455186), (96, 0.1302259)]', '[(4, 0.9745226)]', '[(6, 0.039112125), (43, 0.81575716), (81, 0.12565681)]', '[(74, 0.7795013), (86, 0.20082575)]', '[(67, 0.96795464)]', '[(27, 0.1549117), (32, 0.41193426), (61, 0.4017449)]', '[(12, 0.3954278), (68, 0.58761245)]', '[(58, 0.23110792), (64, 0.35985836), (85, 0.38383847)]', '[(0, 0.31290454), (28, 0.034777313), (56, 0.6349287)]', '[(20, 0.52345604), (69, 0.16112307), (73, 0.17631112), (99, 0.12190103)]', '[(23, 0.17793182), (66, 0.8062026)]', '[(27, 0.7738971), (64, 0.21023802)]', '[(24, 0.7313532), (66, 0.18757182), (98, 0.06537121)]', '[(8, 0.051572282), (17, 0.18213855), (46, 0.011290772), (49, 0.7394551)]', '[(9, 0.12257802), (27, 0.5683123), (85, 0.2934054)]', '[(34, 0.64066035), (48, 0.33654597)]', '[(10, 0.6112146), (21, 0.102060854), (22, 0.03559825), (56, 0.16243991), (96, 0.07330499)]', '[(22, 0.2972104), (55, 0.07182349), (59, 0.615262)]', '[(13, 0.19384694), (18, 0.06016806), (67, 0.72611314)]', '[(74, 0.50316995), (85, 0.46955094)]', '[(2, 0.21611707), (48, 0.10030155), (49, 0.39031538), (61, 0.27693272)]', '[(7, 0.37773946), (15, 0.6055888)]', '[(43, 0.0133939525), (45, 0.72526735), (97, 0.24186574)]', '[(81, 0.979644)]', '[(50, 0.11323342), (54, 0.02531886), (57, 0.72483695), (71, 0.121068)]', '[(56, 0.22908852), (75, 0.75504714)]', '[(37, 0.30076706), (52, 0.59644186), (78, 0.0860034)]', '[(18, 0.1024456), (39, 0.88059616)]', '[(59, 0.6661574), (80, 0.30725923)]', '[(8, 0.031593513), (22, 0.94181854)]', '[(19, 0.5431828), (36, 0.42871204)]', '[(40, 0.14981072), (86, 0.31147605), (88, 0.5108941)]', '[(98, 0.97634083)]', '[(30, 0.76597834), (81, 0.21059997)]', '[(51, 0.5527693), (70, 0.42064685)]', '[(96, 0.97314584)]', '[(53, 0.98159945)]', '[(72, 0.6569704), (93, 0.32481492)]', '[(12, 0.5239698), (26, 0.16346377), (68, 0.02788937), (95, 0.26913542)]', '[(71, 0.5686124), (78, 0.4155229)]', '[(28, 0.7057624), (47, 0.22255433), (77, 0.05572285)]', '[(8, 0.4901176), (55, 0.08795383), (82, 0.18969058), (85, 0.21644019)]', '[(8, 0.15242267), (60, 0.6007779), (75, 0.11271278), (97, 0.118289486)]', '[(8, 0.19242126), (31, 0.3112586), (64, 0.066793084), (84, 0.41090992)]', '[(13, 0.5160027), (58, 0.46432096)]', '[(63, 0.13231072), (67, 0.83695436), (73, 0.01126193)]']"
AKS0586,2010-01-03,"[15, 15, 13, 13, 14, 14, 14, 14, 13, 13, 10, 10, 13, 13, 15, 15, 12, 12, 15, 15, 10, 10, 10, 10, 10, 10, 13, 13, 13, 13, 13, 13, 15, 15, 13, 13, 10, 10, 14, 14, 10, 10, 13, 13, 10, 10]","['[(82, 0.97451997)]', '[(60, 0.22211276), (68, 0.42570922), (81, 0.32721132)]', '[(99, 0.9751576)]', '[(7, 0.4229094), (46, 0.5524976)]', '[(13, 0.57318574), (26, 0.35407764), (48, 0.047772374)]', '[(7, 0.97452307)]', '[(24, 0.7287015), (26, 0.19261865), (49, 0.053711478)]', '[(8, 0.70238703), (24, 0.27239254)]', '[(5, 0.6369587), (23, 0.34691614)]', '[(49, 0.98371047)]', '[(2, 0.80854), (78, 0.16164978)]', '[(88, 0.9698882)]', '[(12, 0.9768933)]', '[(8, 0.9305317), (26, 0.046590976)]', '[(49, 0.75478923), (55, 0.22881496)]', '[(25, 0.4768941), (66, 0.11636027), (98, 0.39051872)]', '[]', '[]', '[(13, 0.27250665), (46, 0.38252833), (68, 0.323327)]', '[(21, 0.5409787), (51, 0.43716347)]', '[(21, 0.41129076), (27, 0.2912701), (64, 0.28173533)]', '[(35, 0.57775813), (89, 0.40208513)]', '[(38, 0.02149038), (46, 0.16928603), (87, 0.6811473), (94, 0.11430942)]', '[(23, 0.21002112), (65, 0.7759268)]', '[(11, 0.03840301), (51, 0.93637395)]', '[(49, 0.101626), (80, 0.8731522)]', '[(68, 0.7607475), (85, 0.21466103)]', '[(38, 0.6960583), (71, 0.27934882)]', '[(22, 0.14051457), (53, 0.4482078), (95, 0.39531735)]', '[(30, 0.98371094)]', '[(61, 0.9837114)]', '[(17, 0.27245557), (22, 0.36236182), (53, 0.16999494), (58, 0.17939053)]', '[(31, 0.38748875), (85, 0.36774203), (86, 0.23065946)]', '[(1, 0.5306429), (2, 0.22214383), (68, 0.0626422), (95, 0.17060477)]', '[(20, 0.4090848), (24, 0.5663229)]', '[(28, 0.8891134), (95, 0.086295)]', '[(7, 0.13038206), (10, 0.5174354), (43, 0.33101565)]', '[(4, 0.4600116), (8, 0.49646682), (75, 0.022356221)]', '[(82, 0.9658489)]', '[(44, 0.97452295)]', '[(6, 0.87214655), (8, 0.10856537)]', '[(28, 0.7454723), (32, 0.13659674), (47, 0.09883994)]', '[(19, 0.8514318), (26, 0.13270123)]', '[(8, 0.0598905), (79, 0.23225543), (82, 0.6921505)]', '[(93, 0.9783973)]', '[(27, 0.40251285), (90, 0.57610136)]']"
AKS0586,2010-01-04,,
AMB0745,2010-01-02,,
AMB0745,2010-01-03,,
AMB0745,2010-01-04,,
AMC0265,2010-01-02,,
AMC0265,2010-01-03,,
AMC0265,2010-01-04,,
ARD0538,2010-01-02,,
ARD0538,2010-01-03,"[10, 10, 13, 13, 10, 10, 10, 10, 10, 10, 13, 13, 10, 10, 10, 10, 10, 10]","['[(11, 0.3519325), (71, 0.39072406), (88, 0.24363029)]', '[(22, 0.42388463), (43, 0.45161897), (86, 0.11078247)]', '[(21, 0.40672466), (39, 0.0157556), (75, 0.55914974)]', '[(61, 0.8915807), (94, 0.08986057)]', '[(40, 0.10907109), (54, 0.8745334)]', '[(50, 0.080334686), (53, 0.90327084)]', '[(1, 0.021388214), (93, 0.95518976)]', '[(12, 0.976341)]', '[(21, 0.22473979), (40, 0.4888369), (96, 0.2693418)]', '[(5, 0.46974447), (39, 0.37791196), (41, 0.1352616)]', '[(19, 0.010425958), (28, 0.48271707), (85, 0.48415884)]', '[(46, 0.46003082), (86, 0.52068263)]', '[(21, 0.20509435), (66, 0.7730474)]', '[(90, 0.36671117), (98, 0.6114306)]', '[(78, 0.9779204)]', '[(54, 0.68770444), (90, 0.2904355)]', '[(21, 0.39776814), (61, 0.15028915), (70, 0.43285242)]', '[(7, 0.4059668), (31, 0.57474655)]']"
ARD0538,2010-01-04,,
ARD0790,2010-01-02,,
ARD0790,2010-01-03,,
ARD0790,2010-01-04,,
AST0328,2010-01-02,,
AST0328,2010-01-03,,
AST0328,2010-01-04,,
ATD0517,2010-01-02,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17]","['[(86, 0.69989437), (94, 0.2735207)]', '[(82, 0.97314656)]', '[(12, 0.98125404)]', '[(18, 0.9687537), (97, 0.0126861)]', '[(36, 0.982076)]', '[(51, 0.983159)]', '[(16, 0.02119765), (41, 0.2905707), (72, 0.21461348), (95, 0.4583227)]', '[(10, 0.5808721), (33, 0.07862134), (55, 0.3018691), (78, 0.023342095)]', '[(8, 0.036327377), (39, 0.9427468)]', '[(8, 0.42089522), (26, 0.55817586)]', '[(11, 0.86315215), (49, 0.116774544)]', '[(16, 0.9797193)]', '[(43, 0.0754914), (45, 0.34603164), (55, 0.38819224), (67, 0.17474248)]', '[(38, 0.81700325), (80, 0.1671322)]', '[(34, 0.13388237), (35, 0.8479021)]', '[(0, 0.43191412), (2, 0.5182651), (16, 0.03179076)]', '[(85, 0.81993955), (90, 0.15663972)]', '[(0, 0.9763397)]', '[(39, 0.3587486), (42, 0.14500818), (59, 0.481264)]', '[(3, 0.1795325), (27, 0.3759667), (44, 0.05139806), (57, 0.33445293), (71, 0.04391218)]', '[(21, 0.20312773), (79, 0.77720094)]', '[(38, 0.58718103), (55, 0.09519901), (86, 0.29814744)]', '[(6, 0.49289775), (30, 0.09312148), (68, 0.39525747)]', '[(16, 0.980893)]', '[(21, 0.048352573), (58, 0.9209107)]', '[(40, 0.968951)]', '[(49, 0.19129673), (71, 0.20184016), (96, 0.5873897)]', '[(48, 0.30806082), (55, 0.67226624)]', '[(42, 0.9403867), (54, 0.035022393)]', '[(22, 0.08765479), (89, 0.8821107)]', '[(55, 0.7800591), (70, 0.110998385), (80, 0.089469165)]', '[(17, 0.11229079), (52, 0.28703433), (70, 0.077594794), (98, 0.503807)]']"
ATD0517,2010-01-03,"[14, 14, 15, 15, 15, 15, 15, 15, 10, 10]","['[(9, 0.1177991), (39, 0.57774264), (54, 0.28127545)]', '[(8, 0.11635285), (80, 0.86023)]', '[(35, 0.5514845), (39, 0.06408458), (62, 0.36735013)]', '[(9, 0.63323146), (34, 0.3495103)]', '[(54, 0.33806995), (76, 0.4828509), (98, 0.1513918)]', '[(35, 0.058062404), (40, 0.50780326), (79, 0.41200596)]', '[(7, 0.5127687), (79, 0.4648743)]', '[(95, 0.9768581)]', '[(2, 0.16291133), (78, 0.8142145)]', '[(8, 0.2739877), (18, 0.2775598), (56, 0.14157227), (78, 0.28447133)]']"
ATD0517,2010-01-04,,
AVG1169,2010-01-02,,
AVG1169,2010-01-03,,
AVG1169,2010-01-04,,
AVH1217,2010-01-02,,
AVH1217,2010-01-03,"[10, 10, 10, 10, 10, 10, 13, 13, 13, 13, 10, 10, 10, 10, 13, 13, 10, 10, 13, 13, 10, 10, 13, 13, 10, 10, 10, 10, 13, 13, 13, 13, 10, 10, 12, 12, 13, 13, 10, 10, 13, 13, 10, 10, 13, 13, 10, 10, 10, 10, 13, 13]","['[(73, 0.98012465)]', '[(81, 0.23501486), (90, 0.74531144)]', '[(30, 0.53031677), (31, 0.4507676)]', '[(46, 0.10596314), (47, 0.82165897), (58, 0.053653132)]', '[(39, 0.45044038), (41, 0.41916835), (81, 0.10407239)]', '[(37, 0.6089955), (61, 0.36441946)]', '[(29, 0.36154437), (74, 0.62232924)]', '[(11, 0.021041775), (50, 0.9628333)]', '[(0, 0.5597006), (65, 0.42138404)]', '[(52, 0.66263735), (65, 0.21322463), (95, 0.10541345)]', '[(15, 0.094827555), (42, 0.88424236)]', '[(83, 0.97148794)]', '[(27, 0.6178528), (54, 0.26455918), (68, 0.094944604)]', '[(26, 0.9768891)]', '[(9, 0.4984057), (49, 0.38307926), (78, 0.10255433)]', '[(0, 0.1278964), (89, 0.2640029), (99, 0.59214073)]', '[(4, 0.82952774), (9, 0.14388561)]', '[(25, 0.23284629), (37, 0.740571)]', '[(37, 0.7553798), (59, 0.21873628)]', '[(22, 0.04775916), (88, 0.92635524)]', '[(5, 0.14214864), (18, 0.2949893), (25, 0.07663581), (27, 0.419484), (77, 0.052293934)]', '[(60, 0.23716243), (63, 0.12728691), (68, 0.32336766), (74, 0.29758286)]', '[(57, 0.47966716), (88, 0.50420773)]', '[(0, 0.04550632), (45, 0.52516454), (94, 0.4133672)]', '[(20, 0.5468545), (55, 0.43347225)]', '[(13, 0.55617005), (26, 0.4241562)]', '[(32, 0.96989155)]', '[(81, 0.9698891)]', '[(54, 0.97972274)]', '[(31, 0.97972405)]', '[(60, 0.97751856)]', '[(56, 0.50139433), (58, 0.32296106), (74, 0.1540076)]', '[(8, 0.38631898), (26, 0.30598766), (66, 0.29504806)]', '[(16, 0.035400707), (64, 0.06858442), (68, 0.38032386), (99, 0.5031769)]', '[]', '[]', '[(1, 0.24890912), (22, 0.73496634)]', '[(9, 0.98371106)]', '[(12, 0.12462825), (32, 0.27799278), (52, 0.58473444)]', '[(55, 0.02005098), (72, 0.6361623), (89, 0.33114228)]', '[(80, 0.2047498), (88, 0.7693658)]', '[(54, 0.9737583)]', '[(42, 0.9731433)]', '[(86, 0.97314304)]', '[(2, 0.0896722), (24, 0.6074013), (57, 0.2842005)]', '[(3, 0.06755939), (78, 0.9135252)]', '[(38, 0.052169725), (79, 0.6211685), (86, 0.3101559)]', '[(44, 0.2231693), (63, 0.35459086), (80, 0.40573704)]', '[(37, 0.82291096), (39, 0.1552322)]', '[(14, 0.015232563), (35, 0.87354493), (63, 0.08958534)]', '[(3, 0.2310926), (23, 0.2760926), (56, 0.47542685)]', '[(19, 0.24060737), (28, 0.7418266)]']"
AVH1217,2010-01-04,,
AVP1137,2010-01-02,,
AVP1137,2010-01-03,,
AVP1137,2010-01-04,,
AWB1661,2010-01-02,,
AWB1661,2010-01-03,,
AWB1661,2010-01-04,,
AWD1976,2010-01-02,"[16, 16, 16, 16, 16, 16, 16, 16]","['[(0, 0.41198242), (27, 0.5716242)]', '[(22, 0.3751973), (64, 0.60840964)]', '[(64, 0.9689101)]', '[(59, 0.024794094), (70, 0.84972453), (96, 0.103845194)]', '[(11, 0.9173577), (61, 0.061712857)]', '[(91, 0.012575916), (94, 0.9664952)]', '[(75, 0.7082294), (92, 0.27215904)]', '[(36, 0.30639926), (38, 0.6731617)]']"
AWD1976,2010-01-03,,
AWD1976,2010-01-04,,
BBH1945,2010-01-02,,
BBH1945,2010-01-03,,
BBH1945,2010-01-04,,
BCA1517,2010-01-02,,
BCA1517,2010-01-03,,
BCA1517,2010-01-04,,
BCC1597,2010-01-02,"[10, 10, 2, 2, 13, 13, 5, 5, 3, 3, 16, 16, 2, 2, 6, 6, 10, 10, 13, 13, 10, 10]","['[(11, 0.26594764), (75, 0.22633538), (98, 0.49063465)]', '[(43, 0.35863355), (45, 0.62265515)]', '[]', '[]', '[(29, 0.023271454), (69, 0.95534706)]', '[(4, 0.9445464), (91, 0.03407085)]', '[(41, 0.43703952), (59, 0.5428859)]', '[(3, 0.44088235), (19, 0.53904253)]', '[(72, 0.97201574)]', '[(69, 0.9595697), (75, 0.021511218)]', '[(27, 0.9779188)]', '[(10, 0.03203074), (55, 0.28816614), (60, 0.34332135), (96, 0.31506816)]', '[]', '[]', '[(12, 0.56720555), (72, 0.403861)]', '[(81, 0.97078013)]', '[(76, 0.971413)]', '[(10, 0.43060383), (83, 0.5465191)]', '[(71, 0.2150695), (96, 0.766012)]', '[(15, 0.37009406), (25, 0.61098975)]', '[(31, 0.21411446), (91, 0.76766884)]', '[(22, 0.2779973), (41, 0.70378715)]']"
BCC1597,2010-01-03,,
BCC1597,2010-01-04,"[10, 10]","['[(49, 0.050755333), (51, 0.68281007), (85, 0.2512225)]', '[(43, 0.17459925), (52, 0.80917436)]']"
BCR0747,2010-01-02,,
BCR0747,2010-01-03,,
BCR0747,2010-01-04,,
BDF0015,2010-01-02,"[13, 13, 10, 10, 15, 15, 15, 15, 12, 12, 10, 10, 16, 16, 15, 15, 10, 10, 16, 16]","['[(22, 0.7813585), (28, 0.20168124)]', '[(0, 0.727763), (41, 0.0559691), (89, 0.19947863)]', '[(31, 0.022253381), (74, 0.38154805), (75, 0.5791179)]', '[(48, 0.21306524), (74, 0.17808388), (75, 0.5917702)]', '[(16, 0.7918126), (55, 0.1684258), (91, 0.024782632)]', '[(19, 0.046073783), (21, 0.16966347), (45, 0.11563585), (48, 0.6538014)]', '[(35, 0.02085699), (75, 0.9582162)]', '[(20, 0.39548466), (63, 0.58358765)]', '[]', '[]', '[(40, 0.1411502), (72, 0.842178)]', '[(21, 0.7120577), (24, 0.27127126)]', '[(14, 0.3664621), (43, 0.025797024), (57, 0.5555607), (88, 0.032513432)]', '[(64, 0.62952614), (78, 0.3497829)]', '[(28, 0.04950245), (65, 0.19823575), (98, 0.7366707)]', '[(13, 0.5079429), (19, 0.4764428)]', '[(39, 0.7601245), (83, 0.22320269)]', '[(17, 0.56318134), (26, 0.42014572)]', '[(7, 0.28449234), (17, 0.4050397), (86, 0.29525536)]', '[(1, 0.28225377), (30, 0.53675103), (93, 0.16578251)]']"
BDF0015,2010-01-03,,
BDF0015,2010-01-04,,
BDP0096,2010-01-02,,
BDP0096,2010-01-03,,
BDP0096,2010-01-04,,
BGH1443,2010-01-02,,
BGH1443,2010-01-03,,
BGH1443,2010-01-04,,
BGR0917,2010-01-02,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]","['[(67, 0.9825667)]', '[(35, 0.6509247), (66, 0.13379818), (79, 0.1981969)]', '[(11, 0.97516525)]', '[(99, 0.97516894)]', '[(99, 0.9849574)]', '[(11, 0.8169194), (87, 0.16818726)]', '[(40, 0.41019878), (55, 0.545444), (83, 0.026655048)]', '[(53, 0.1072437), (70, 0.87487143)]', '[(77, 0.97384936)]', '[(54, 0.58576787), (63, 0.38834554)]', '[(8, 0.021704175), (45, 0.13522), (46, 0.8253773)]', '[(5, 0.64091295), (88, 0.34120727)]', '[(95, 0.21942209), (99, 0.758725)]', '[(46, 0.9779256)]', '[(14, 0.16962522), (57, 0.75660604), (89, 0.055045042)]', '[(15, 0.101536706), (63, 0.10337841), (66, 0.39249718), (73, 0.3840556)]', '[(62, 0.8834163), (85, 0.09520226)]', '[(71, 0.85392743), (76, 0.124687225)]', '[(11, 0.2576492), (32, 0.23210756), (87, 0.49479124)]', '[(38, 0.9842312)]']"
BGR0917,2010-01-03,,
BGR0917,2010-01-04,,
BHG1947,2010-01-02,,
BHG1947,2010-01-03,,
BHG1947,2010-01-04,,
BJM1314,2010-01-02,,
BJM1314,2010-01-03,,
BJM1314,2010-01-04,,
BKA1178,2010-01-02,,
BKA1178,2010-01-03,,
BKA1178,2010-01-04,,
BKL0545,2010-01-02,,
BKL0545,2010-01-03,,
BKL0545,2010-01-04,,
BOS1170,2010-01-02,,
BOS1170,2010-01-03,,
BOS1170,2010-01-04,,
BRM1454,2010-01-02,,
BRM1454,2010-01-03,,
BRM1454,2010-01-04,,
BSY1451,2010-01-02,,
BSY1451,2010-01-03,,
BSY1451,2010-01-04,,
BTG1551,2010-01-02,,
BTG1551,2010-01-03,,
BTG1551,2010-01-04,,
BTV1433,2010-01-02,,
BTV1433,2010-01-03,,
BTV1433,2010-01-04,,
